,Unnamed: 0,player,fleaflicker,dk_name
0,0,Aaron Rodgers,28.88,Aaron Rodgers
1,1,Cam Newton,25.84,Cam Newton
2,2,Matt Ryan,24.18,Matt Ryan
3,3,Tom Brady,23.94,Tom Brady
4,4,Mark Sanchez,21.4,Mark Sanchez
5,5,Blaine Gabbert,19.34,Blaine Gabbert
6,6,Ryan Tannehill,19.36,Ryan Tannehill
7,7,Carson Palmer,20.18,Carson Palmer
8,8,Ryan Fitzpatrick,19.72,Ryan Fitzpatrick
9,9,Russell Wilson,20.26,Russell Wilson
10,10,Marcus Mariota,20.04,Marcus Mariota
11,11,Philip Rivers,19.4,Philip Rivers
12,12,Joe Flacco,19.26,Joe Flacco
13,13,Blake Bortles,19.64,Blake Bortles
14,14,Brock Osweiler,19.3,Brock Osweiler
15,15,Derek Carr,18.56,Derek Carr
16,16,Andy Dalton,18.64,Andy Dalton
17,17,Matt Cassel,15.32,Matt Cassel
18,18,Case Keenum,18.46,Case Keenum
19,19,Kirk Cousins,18.2,Kirk Cousins
20,21,Alex Smith,18.04,Alex Smith
21,22,Jay Cutler,17.88,Jay Cutler
22,23,Teddy Bridgewater,17.98,Teddy Bridgewater
23,24,Jameis Winston,16.64,Jameis Winston
24,25,Matthew Stafford,15.48,Matthew Stafford
25,26,T.J. Yates,13.08,T.J. Yates
26,27,Tyrod Taylor,13.38,Tyrod Taylor
27,28,Matt Hasselbeck,8.92,Matt Hasselbeck
28,30,Jeremy Langford,30.4,Jeremy Langford
29,31,Devonta Freeman,22.9,Devonta Freeman
30,32,A.J. Green,27.4,A.J. Green
31,33,Julio Jones,27.1,Julio Jones
32,34,Adrian Peterson,23.8,Adrian Peterson
33,35,Demaryius Thomas,26.5,Demaryius Thomas
34,36,T.Y. Hilton,26.4,T.Y. Hilton
35,37,Dez Bryant,26.4,Dez Bryant
36,38,Emmanuel Sanders,23.2,Emmanuel Sanders
37,39,Amari Cooper,23.9,Amari Cooper
38,40,Mike Evans,22.7,Mike Evans
39,41,Danny Woodhead,18.1,Danny Woodhead
40,42,DeAndre Hopkins,20.9,DeAndre Hopkins
41,43,Eddie Lacy,16.8,Eddie Lacy
42,44,T.J. Yeldon,16.8,T.J. Yeldon
43,45,Todd Gurley,16.7,Todd Gurley
44,46,Justin Forsett,17.6,Justin Forsett
45,47,Rob Gronkowski,20.3,Rob Gronkowski
46,48,Jimmy Graham,21.1,Jimmy Graham
47,49,Marshawn Lynch,15.8,Marshawn Lynch
48,51,Chris Ivory,15.8,Chris Ivory
49,52,DeMarco Murray,15.8,DeMarco Murray
50,53,Randall Cobb,19.8,Randall Cobb
51,54,Alshon Jeffery,19.7,Alshon Jeffery
52,55,Tyler Eifert,19.6,Tyler Eifert
53,56,Frank Gore,15.5,Frank Gore
54,57,Ronnie Hillman,15.4,Ronnie Hillman
55,58,Brandon Marshall,19.1,Brandon Marshall
56,59,Giovani Bernard,17.0,Giovani Bernard
57,60,Eric Decker,18.0,Eric Decker
58,61,Stefon Diggs,19.0,Stefon Diggs
59,62,Doug Baldwin,17.8,Doug Baldwin
60,63,Greg Olsen,17.7,Greg Olsen
61,64,LeSean McCoy,14.6,LeSean McCoy
62,65,Mike Wallace,17.6,Mike Wallace
63,66,Martellus Bennett,18.6,Martellus Bennett
64,67,Doug Martin,13.6,Doug Martin
65,68,Delanie Walker,17.5,Delanie Walker
66,69,Darren McFadden,13.4,Darren McFadden
67,70,Larry Fitzgerald,18.4,Larry Fitzgerald
68,72,Allen Hurns,17.4,Allen Hurns
69,73,Lamar Miller,14.3,Lamar Miller
70,74,James Jones,17.3,James Jones
71,75,Jeremy Maclin,17.2,Jeremy Maclin
72,76,Roy Helu,16.1,Roy Helu Jr.
73,77,Marvin Jones,17.0,Marvin Jones
74,78,Allen Robinson,17.0,Allen Robinson
75,79,Latavius Murray,12.9,Latavius Murray
76,80,Austin Seferian-Jenkins,16.8,Austin Seferian-Jenkins
77,81,Jarvis Landry,16.7,Jarvis Landry
78,82,Andre Ellington,13.6,Andre Ellington
79,83,Pierre Garcon,16.6,Pierre Garcon
80,84,Jason Witten,16.6,Jason Witten
81,85,Vincent Jackson,15.5,Vincent Jackson
82,86,Brandon LaFell,16.4,Brandon LaFell
83,87,Anquan Boldin,16.3,Anquan Boldin
84,88,Kamar Aiken,17.3,Kamar Aiken
85,89,Jordan Reed,16.3,Jordan Reed
86,90,Sammy Watkins,15.2,Sammy Watkins
87,91,Travis Kelce,15.2,Travis Kelce
88,93,Antonio Andrews,13.1,Antonio Andrews
89,94,Charcandrick West,15.1,Charcandrick West
90,95,LeGarrette Blount,12.0,LeGarrette Blount
91,96,Donte Moncrief,15.0,Donte Moncrief
92,97,David Cobb,11.9,David Cobb
93,98,Julius Thomas,15.9,Julius Thomas
94,99,Richard Rodgers,14.9,Richard Rodgers
95,100,Cecil Shorts,14.7,Cecil Shorts III
96,101,Rishard Matthews,14.6,Rishard Matthews
97,102,Eric Ebron,14.6,Eric Ebron
98,103,Davante Adams,14.4,Davante Adams
99,104,John Brown,13.2,John Brown
100,105,Charles Clay,15.1,Charles Clay
101,106,Ladarius Green,13.1,Ladarius Green
102,107,Antonio Gates,13.9,Antonio Gates
103,108,Matt Jones,13.5,Matt Jones
104,109,Karlos Williams,10.2,Karlos Williams
105,110,Owen Daniels,12.2,Owen Daniels
106,111,Devin Funchess,10.8,Devin Funchess
107,112,Jeremy Hill,10.7,Jeremy Hill
108,114,Jonathan Stewart,9.6,Jonathan Stewart
109,115,James Starks,10.6,James Starks
110,116,Calvin Johnson,12.4,Calvin Johnson
111,117,Darren Sproles,12.3,Darren Sproles
112,118,Mohamed Sanu,13.1,Mohamed Sanu
113,119,Ka'Deem Carey,9.7,Ka'Deem Carey
114,120,Jordan Matthews,11.3,Jordan Matthews
115,121,Golden Tate,11.2,Golden Tate
116,122,Kyle Rudolph,11.7,Kyle Rudolph
117,123,Charles Sims,7.6,Charles Sims
118,124,Chris Johnson,7.5,Chris Johnson
119,125,Zach Ertz,10.5,Zach Ertz
120,126,Jamison Crowder,10.4,Jamison Crowder
121,127,David Johnson,7.4,David Johnson
122,128,Michael Crabtree,10.2,Michael Crabtree
123,129,Tavon Austin,9.2,Tavon Austin
124,130,Jordan Cameron,10.2,Jordan Cameron
125,131,De'Anthony Thomas,8.1,De'Anthony Thomas
126,132,Alfred Morris,6.0,Alfred Morris
127,133,Denard Robinson,5.9,Denard Robinson
128,135,Harry Douglas,8.9,Harry Douglas
129,136,Marqise Lee,8.9,Marqise Lee
130,137,Ted Ginn,7.8,Ted Ginn Jr.
131,138,Alfred Blue,5.7,Alfred Blue
132,139,Bilal Powell,6.7,Bilal Powell
133,140,Fozzy Whittaker,6.4,Fozzy Whittaker
134,141,Robert Woods,8.4,Robert Woods
135,142,DeSean Jackson,7.4,DeSean Jackson
136,143,Jeremy Kerley,8.4,Jeremy Kerley
137,144,Joique Bell,6.2,Joique Bell
138,145,C.J. Anderson,5.1,C.J. Anderson
139,146,Jarius Wright,7.1,Jarius Wright
140,147,Ameer Abdullah,5.0,Ameer Abdullah
141,148,Leonard Hankerson,6.9,Leonard Hankerson
142,149,Michael Floyd,7.9,Michael Floyd
143,150,Jaelen Strong,6.9,Jaelen Strong
144,151,Theo Riddick,5.8,Theo Riddick
145,152,Thomas Rawls,3.8,Thomas Rawls
146,153,Chris Givens,6.8,Chris Givens
147,154,James White,6.7,James White
148,156,Melvin Gordon,4.7,Melvin Gordon
149,157,Kenny Stills,6.7,Kenny Stills
150,158,Kenny Britt,6.7,Kenny Britt
151,159,Danny Amendola,7.6,Danny Amendola
152,160,Terrance Williams,6.6,Terrance Williams
153,161,Marlon Brown,6.6,Marlon Brown
154,162,Ty Montgomery,6.6,Ty Montgomery
155,163,Stevan Ridley,4.5,Stevan Ridley
156,164,Charles Johnson,6.5,Charles Johnson
